"date","report_url","report_title","report_description"
22 October 2015,"http://www.uobgroup.com/assets/pdfs/research/FXS_151022.pdf","FX Strategy Focus: 22 October 2015",
22 September 2015,"http://www.uobgroup.com/assets/pdfs/research/FXS_150922.pdf","FX Strategy Focus: 22 September 2015",
1 September 2015,"http://www.uobgroup.com/assets/pdfs/research/FXS_150901.pdf","FX Strategy Focus: 1 September 2015",
4 August 2015,"http://www.uobgroup.com/assets/pdfs/research/FXS_150804.pdf","FX Strategy Focus: 4 August 2015",
